month,oil_bpd,oil_bbl,water_bbl,field_price,revenue,royalties,opex,netback,live,capital,cf_btax,tax,cf_atax,disc_factor
42,46.83340538209094,1424.6721917232064,4818.460866647889,63.0,89754.348078562,37513.10800857659,39988.87120659889,12252.368863386524,True,0.0,12252.368863386524,0.0,12252.368863386524,0.719201024142562
43,45.95786276990587,1398.0381854605366,4815.272648391934,63.0,88076.40568401381,36820.406405720045,39785.41295186267,11470.58632643109,True,0.0,11470.58632643109,0.0,11470.58632643109,0.7135113841675882
44,45.11290491047537,1372.334567376661,4810.859875839447,63.0,86457.07774472964,36151.90249120125,39584.720209959,10720.455043569396,True,0.0,10720.455043569396,0.0,10720.455043569396,0.7078667552562227
45,44.29698295648883,1347.5142215363903,4805.24524846082,63.0,84893.39595679259,35506.37086605078,39386.52516363649,10000.499927105324,True,0.0,10000.499927105324,0.0,10000.499927105324,0.7022667813233956
46,43.50865004711091,1323.533134433114,4798.453342546952,63.0,83382.58746928617,34882.666819770464,39190.588587917664,9309.332061598041,True,0.0,9309.332061598041,0.0,9309.332061598041,0.6967111091010466
47,42.7465530906503,1300.3501450175822,4790.510473587384,63.0,81922.05913610768,34279.71982904106,38996.69759053647,8645.641716530154,True,0.0,8645.641716530154,0.0,8645.641716530154,0.6911993881158386
48,42.00942532657383,1277.926718434376,4781.4445551541185,63.0,80509.38326136569,33696.52767302307,38804.66351290011,8008.192075442508,True,0.0,8008.192075442508,0.0,8008.192075442508,0.6857312706670489
49,41.296079582171146,1256.2267408896464,4771.28495541709,63.0,79142.28467604773,33132.15109824343,38614.31997655548,7395.813601248818,True,0.0,7395.813601248818,0.0,7395.813601248818,0.6803064118046351
50,40.60540214951547,1235.2163333882606,4760.062352378199,63.0,77818.62900346042,32585.708974240555,38425.521062294036,6807.39896692583,True,0.0,6807.39896692583,0.0,6807.39896692583,0.674924469307474
51,39.93634721730936,1214.8636823505508,4747.808588862042,63.0,76536.4119880847,32056.37388821703,38238.13961084313,6241.898489024541,True,0.0,6241.898489024541,0.0,6241.898489024541,0.6695851036617729
52,39.28793179995699,1195.1388853546919,4734.55652824457,63.0,75293.74977734558,31543.36813308202,38052.06563561637,5698.316008647191,True,0.0,5698.316008647191,0.0,5698.316008647191,0.6642879780396522
53,38.65923111294025,1176.0138104556424,4720.339911836738,63.0,74088.87005870548,31045.960048595265,37867.2048392728,5175.705170837406,True,0.0,5175.705170837406,0.0,5175.705170837406,0.6590327582778965
54,38.04937434943952,1157.4619677099502,4705.193218770492,63.0,72920.10396572686,30563.460679963086,37683.47722690124,4673.166058862531,True,0.0,4673.166058862531,0.0,4673.166058862531,0.6538191128568746
55,37.45754081825674,1139.45839169137,4689.151529160077,63.0,71785.87867655631,30095.220722285387,37500.81580953269,4189.842144738235,True,0.0,4189.842144738235,0.0,4189.842144738235,0.6486467128796256
56,36.8829564075708,1121.9795339183038,4672.250391234407,63.0,70684.71063685314,29640.627722790807,37319.16539241953,3724.917521642805,True,0.0,3724.917521642805,0.0,3724.917521642805,0.6435152320511114
57,36.32489034297292,1105.0031642332362,4654.525693056913,63.0,69615.19934669389,29199.103515896943,37138.48144312593,3277.614387671012,True,0.0,3277.614387671012,0.0,3277.614387671012,0.6384243466576324
58,35.782652211668406,1088.508280278953,4636.013539369432,63.0,68576.02165757403,28770.10186885297,36958.72903497306,2847.190753748,True,0.0,2847.190753748,0.0,2847.190753748,0.633373735546406
59,35.25558922775333,1072.4750243082565,4616.7501340170975,63.0,67565.92653142016,28353.10631811312,36779.881861790425,2432.938351516619,True,0.0,2432.938351516619,0.0,2432.938351516619,0.6283630801053077
60,34.74308371613816,1056.8846066449228,4596.7716683331755,63.0,66583.73021863014,27947.628178696643,36601.92132025851,2034.180719674987,True,0.0,2034.180719674987,0.0,2034.180719674987,0.6233920642427717
61,34.2445507950388,1041.7192351850804,4576.11421578688,63.0,65628.31181666006,28193.204710648137,36424.83565639919,1010.2714496127373,True,0.0,1010.2714496127373,0.0,1010.2714496127373,0.6184603743678501
62,33.75943623903279,1026.9620503913775,4554.8136331244605,63.0,64698.60917465678,27809.39742835521,36248.61917299198,640.5925733095937,True,0.0,640.5925733095937,0.0,640.5925733095937,0.6135676993704309
63,33.28721450651589,1012.5970652882133,4532.9054681647385,63.0,63793.615113157444,27435.79053993456,36073.27149487495,284.5530783479335,True,0.0,284.5530783479335,0.0,284.5530783479335,0.6087137306016117
64,32.82738691702498,998.6091100159,4510.424874345395,63.0,62912.3739310017,27071.98950518757,35898.79688923781,-58.41246342367958,True,0.0,-58.41246342367958,0.0,-58.41246342367958,0.6038981618542293
65,32.379479965340174,984.9837805456482,4487.406532056096,63.0,62053.978174375836,26717.619701771226,35725.203638138264,-388.8451655336539,True,0.0,-388.8451655336539,0.0,-388.8451655336539,0.5991206893435422
66,31.943043760567427,971.7073911964612,4463.884576739163,63.0,61217.56564537706,26372.32519024972,35552.50346057663,-707.2630054492911,True,0.0,-707.2630054492911,0.0,-707.2630054492911,0.5943810116880677
67,31.517650579549382,958.7669306298923,4439.8925336884,63.0,60402.31662968321,26035.767569598862,35380.71098155402,-1014.1619214696693,True,0.0,-1014.1619214696693,0.0,-1014.1619214696693,0.5896788298905686
68,31.10289352497586,946.1500210297656,4415.463259431553,63.0,59607.451324875234,25707.62491554559,35209.84324561835,-1310.0168362887052,True,0.0,-1310.0168362887052,0.0,-1310.0168362887052,0.5850138473191921
69,30.698385279479197,933.8448802017572,4390.628889542365,63.0,58832.2274527107,25387.590794847652,35039.919272475425,-1595.282614612377,True,-150000.0,-151595.28261461237,0.0,-151595.28261461237,0.5803857696887567
