top_mmd,base_mmd,pct,desc,gas_units,calcimetry_pct
1340,1350,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",34.0,
1350,1360,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",31.0,
1360,1370,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",30.0,
1370,1380,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",32.0,
1380,1390,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",30.0,
1390,1400,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",34.0,
1400,1410,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",37.0,
1410,1420,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",39.0,
1420,1430,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",36.0,
1430,1440,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",39.0,
1440,1450,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",35.0,
1450,1460,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",32.0,
1460,1470,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",35.0,
1470,1480,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",39.0,
1480,1490,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",59.0,
1490,1500,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",53.0,
1500,1505,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",43.0,
1505,1510,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",48.0,
1510,1515,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",40.0,
1515,1520,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",34.0,
1520,1525,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",39.0,
1525,1530,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",35.0,
1530,1535,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",34.0,
1535,1540,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",29.0,
1540,1545,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",36.0,
1545,1550,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",32.0,
1550,1555,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",37.0,
1555,1560,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",40.0,
1560,1565,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",44.0,
1565,1570,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",47.0,
1570,1575,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",37.0,
1575,1580,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",37.0,
1580,1585,80 20,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",63.0,
1585,1590,80 20,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",50.0,
1590,1595,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",39.0,
1595,1600,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",36.0,
1600,1605,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",36.0,
1605,1610,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",36.0,
1610,1615,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",31.0,
1615,1620,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",31.0,
1620,1625,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",30.0,
1625,1630,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",29.0,
1630,1635,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",32.0,
1635,1640,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",26.0,
1640,1645,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro a gris oscuro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",24.0,
1645,1650,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",27.0,
1650,1655,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",28.0,
1655,1660,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",33.0,
1660,1665,,"100 Lutita arenosa gris claro, semidura a dura, Chromatography C1 : 100 %",38.0,
