DEPT,CGXT,DNND,DNFD,SMTU,gr,CCLG,NPRS,NPOR,nprl,NPRD,BIT,mss
2216.1,97.954895,3181.087891,128.12233,1949.999878,61.846966,-304.210205,0.402207,0.422569,0.348939,0.317708,9.5,2212.1
2216.2,97.970154,3179.688477,167.023453,1946.249878,62.142448,-9167.353516,0.405594,0.42702,0.352921,0.321379,9.5,2212.2
2216.3,97.97921,3186.370117,151.876434,1947.499878,60.449036,-14903.746094,0.413471,0.437334,0.362118,0.329853,9.5,2212.3
2216.4,97.973465,3143.336914,129.197098,1949.999878,60.20182,4822.078125,0.418327,0.44368,0.367764,0.335051,9.5,2212.4
2216.5,97.97966,3260.847168,138.640152,1949.999878,59.072853,15574.792969,0.42534,0.45289,0.376006,0.342653,9.5,2212.5
2216.6,97.986961,2995.758057,157.54277,1951.249878,58.663902,3872.529053,0.428021,0.456428,0.37919,0.345595,9.5,2212.6
2216.7,98.015274,2829.313721,119.722366,1953.749878,57.542068,128.32312,0.430724,0.459999,0.382406,0.348567,9.5,2212.7
2216.8,97.992386,3264.275146,162.524139,1953.749878,57.852314,578.113281,0.426877,0.454958,0.377907,0.344421,9.5,2212.8
2216.9,98.009735,3263.506592,116.564644,1953.749878,57.251774,-59.905823,0.423646,0.450747,0.37417,0.340983,9.5,2212.9
2217.0,98.008545,3135.266357,141.795303,1954.999878,57.292347,-385.323425,0.417282,0.442385,0.366682,0.334075,9.5,2213.0
2217.1,98.014175,3172.185791,162.041687,1954.999878,57.813473,-500.55304,0.411876,0.435269,0.3603,0.328184,9.5,2213.1
2217.2,98.016174,3199.125488,165.231491,1953.749878,59.593483,-1667.956543,0.403547,0.42434,0.350527,0.319172,9.5,2213.2
2217.3,98.020073,3096.257813,131.256866,1953.749878,60.779476,-474.392822,0.397284,0.416183,0.34329,0.312512,9.5,2213.3
2217.4,98.026779,3223.963135,139.782578,1952.499878,60.705975,482.881348,0.39635,0.415015,0.342293,0.311603,9.5,2213.4
2217.5,98.027229,3202.406738,184.346771,1952.499878,60.105431,790.464294,0.401583,0.421941,0.348536,0.317371,9.5,2213.5
2217.6,98.038612,3062.768799,144.949371,1951.249878,59.020691,1195.35791,0.409171,0.431922,0.35748,0.325623,9.5,2213.6
2217.7,98.043861,3192.676514,144.951492,1949.999878,58.252659,-444.78656,0.412878,0.436822,0.361893,0.329699,9.5,2213.7
2217.8,98.05912,3281.360107,129.178452,1949.999878,56.752014,308.527832,0.413086,0.437134,0.362198,0.329983,9.5,2213.8
2217.9,98.050209,3182.118896,135.483017,1947.499878,54.899956,749.260864,0.406968,0.429188,0.355159,0.323506,9.5,2213.9
