DEPT,mss,gr,nprl,dprl,den,pe,res_ild,phi,sw,sw_m1p8,pay_6_50,pay_4_60
2262.225,2231.8870625,52.809306,0.171748,0.19996,2.36675,12.954345,20000000.0,0.18585400000000002,0.0002796277520366493,0.00023631835920958548,True,True
2262.25,2231.910625,53.532462,0.165909,0.207602,2.356324,13.073853,20000000.0,0.18675550000000002,0.0002782779421597727,0.00023529143759193772,True,True
2262.275,2231.9341875,55.238399,0.159313,0.213741,2.345535,13.060685,20000000.0,0.186527,0.00027861883924053585,0.00023555083554326994,True,True
2262.3,2231.95775,57.369907,0.154207,0.219388,2.33567,12.971346,20000000.0,0.1867975,0.00027821537347672975,0.00023524382391222132,True,True
2262.325,2231.9813124999996,58.801191,0.152191,0.224974,2.32768,12.876921,20000000.0,0.1885825,0.00027558196665660616,0.00023323887284887231,True,True
2262.35,2232.004875,59.165783,0.152683,0.228865,2.321352,12.797508,20000000.0,0.190774,0.0002724162423968645,0.00023082610151958956,True,True
2262.375,2232.0284375,58.089464,0.153119,0.23101,2.316473,12.820207,20000000.0,0.1920645,0.0002705858512479892,0.00022942978275466137,True,True
2262.4,2232.052,55.893969,0.151692,0.232262,2.313165,12.917765,20000000.0,0.191977,0.00027070917988623335,0.00022952389394357927,True,True
2262.425,2232.0755625,53.101334,0.148927,0.233641,2.31055,13.070169,20000000.0,0.191284,0.00027168992820632894,0.00023027214343385814,True,True
2262.45,2232.0991249999997,50.817268,0.14638,0.234627,2.308612,13.131988,20000000.0,0.1905035,0.00027280305205426374,0.00023112106002110634,True,True
2262.475,2232.1226874999998,50.032759,0.145522,0.236509,2.307799,13.160938,20000000.0,0.1910155,0.0002720718278203571,0.00023056343578762217,True,True
