DEPT,TVD,ROP,gr,dtc,DTS,mss,sphi_wyllie
2968.1,2328.261,25.179,63.65,79.85,,2323.561,0.22862190812720845
2968.2,2328.26,25.406,63.64,79.55,,2323.5600000000004,0.22650176678445227
2968.3,2328.258,24.623,64.09,79.48,,2323.558,0.22600706713780921
2968.4,2328.257,24.342,63.17,78.24,,2323.5570000000002,0.21724381625441694
2968.5,2328.255,24.438,62.53,78.02,,2323.5550000000003,0.21568904593639573
2968.6,2328.254,23.701,61.89,77.82,,2323.554,0.21427561837455825
2968.7,2328.253,22.426,61.01,77.15,,2323.5530000000003,0.20954063604240286
2968.8,2328.251,20.677,59.48,76.74,,2323.5510000000004,0.206643109540636
2968.9,2328.25,19.539,60.1,76.1,,2323.55,0.20212014134275613
2969.0,2328.248,18.64,60.95,76.04,,2323.5480000000002,0.20169611307420499
2969.1,2328.247,17.894,61.41,75.74,,2323.547,0.19957597173144873
2969.2,2328.245,16.957,62.31,75.11,,2323.545,0.19512367491166077
2969.3,2328.244,16.884,62.67,75.1,,2323.5440000000003,0.19505300353356886
2969.4,2328.242,17.022,63.62,75.14,,2323.5420000000004,0.1953356890459364
2969.5,2328.241,16.852,63.47,75.05,,2323.541,0.19469964664310951
2969.6,2328.239,17.36,63.43,75.05,,2323.539,0.19469964664310951
2969.7,2328.237,17.473,63.37,74.98,,2323.5370000000003,0.19420494699646645
2969.8,2328.236,18.02,62.89,75.07,,2323.536,0.19484098939929323
2969.9,2328.234,18.262,62.51,75.07,,2323.534,0.19484098939929323
2970.0,2328.233,18.162,62.64,75.07,,2323.5330000000004,0.19484098939929323
2970.1,2328.231,17.906,62.3,75.16,,2323.5310000000004,0.19547703180212012
2970.2,2328.23,17.46,62.85,75.19,,2323.53,0.19568904593639574
2970.3,2328.228,17.897,63.81,75.16,,2323.5280000000002,0.19547703180212012
2970.4,2328.226,18.268,64.05,75.15,,2323.5260000000003,0.1954063604240283
2970.5,2328.225,18.444,64.58,75.2,,2323.525,0.19575971731448766
2970.6,2328.223,18.444,65.26,75.21,,2323.523,0.19583038869257946
2970.7,2328.221,18.733,65.24,75.19,,2323.521,0.19568904593639574
2970.8,2328.22,18.709,65.64,75.19,,2323.52,0.19568904593639574
2970.9,2328.218,18.521,65.63,75.22,,2323.518,0.19590106007067137
2971.0,2328.216,17.97,65.78,75.24,,2323.516,0.1960424028268551
2971.1,2328.215,17.078,65.62,75.12,,2323.5150000000003,0.19519434628975268
2971.2,2328.213,16.41,64.54,75.09,,2323.5130000000004,0.19498233215547706
2971.3,2328.211,15.722,63.28,75.05,,2323.511,0.19469964664310951
2971.4,2328.209,15.057,63.02,75.58,,2323.509,0.19844522968197878
2971.5,2328.208,14.478,62.6,75.64,,2323.5080000000003,0.19886925795053004
2971.6,2328.206,13.93,61.47,75.92,,2323.5060000000003,0.2008480565371025
2971.7,2328.204,13.975,61.16,76.14,,2323.5040000000004,0.20240282685512367
