DEPT,gr,GR_NRM,res_ln,MINV,MNOR,nphi,res_sn,SP,SP_NRM,mss
2318.3,76.309,99.077,179.49,257.576,,0.1,91.377,134.073,-5.54,2314.3
2318.4,70.564,88.716,178.174,254.249,,0.103,91.438,133.566,-5.85,2314.4
2318.5,65.974,80.439,176.802,246.947,,0.107,91.495,133.059,-6.16,2314.5
2318.6,66.316,81.055,175.379,239.645,257.576,0.11,91.55,132.552,-6.47,2314.6
2318.7,66.658,81.672,173.907,232.344,257.329,0.112,91.607,132.045,-6.78,2314.7
2318.8,67.0,82.289,172.389,225.042,247.582,0.114,91.669,131.538,-7.09,2314.8
2318.9,67.342,82.906,170.829,217.741,237.835,0.113,91.738,131.031,-7.399,2314.9
2319.0,63.242,75.512,169.231,211.313,228.089,0.111,91.818,128.454,-8.974,2315.0
2319.1,57.736,65.582,167.587,210.914,218.342,0.107,91.908,125.223,-10.95,2315.1
2319.2,52.23,55.653,165.898,210.944,214.809,0.103,92.005,121.991,-12.925,2315.2
2319.3,50.407,52.364,164.173,211.044,215.508,0.098,92.11,118.759,-14.901,2315.3
2319.4,51.091,53.598,162.422,211.229,216.206,0.092,92.225,115.527,-16.877,2315.4
2319.5,51.775,54.831,160.655,211.588,216.904,0.087,92.351,112.296,-18.852,2315.5
2319.6,52.459,56.065,158.881,211.947,217.602,0.082,92.489,109.064,-20.828,2315.6
2319.7,52.439,56.03,157.112,212.307,218.301,0.077,92.64,106.254,-22.545,2315.7
2319.8,48.849,49.554,155.355,212.666,218.999,0.073,92.805,105.592,-22.95,2315.8
2319.9,45.258,43.078,153.623,213.025,219.697,0.071,92.985,104.929,-23.355,2315.9
2320.0,41.667,36.602,151.923,213.384,221.093,0.069,93.182,104.266,-23.761,2316.0
2320.1,38.076,30.126,150.346,216.775,222.49,0.068,93.885,103.603,-24.166,2316.1
2320.2,36.633,27.524,149.008,220.167,223.886,0.066,95.511,102.94,-24.571,2316.2
2320.3,35.968,26.325,147.958,221.409,225.283,0.064,97.95,102.277,-24.976,2316.3
2320.4,35.303,25.125,147.244,220.212,226.679,0.062,101.091,101.614,-25.382,2316.4
2320.5,34.638,23.926,146.916,219.015,234.336,0.061,104.826,100.951,-25.787,2316.5
2320.6,33.973,22.727,147.024,233.235,242.415,0.059,109.045,103.053,-24.502,2316.6
2320.7,33.363,21.626,147.616,248.496,,0.058,113.637,105.343,-23.102,2316.7
2320.8,34.141,23.029,148.741,,,0.056,118.493,107.632,-21.703,2316.8
2320.9,34.919,24.433,150.449,,,0.054,123.503,109.921,-20.304,2316.9
2321.0,35.697,25.836,152.788,257.323,257.071,0.053,128.558,112.21,-18.904,2317.0
2321.1,36.475,27.239,157.702,252.561,252.222,0.051,134.171,114.499,-17.505,2317.1
2321.2,37.253,28.642,166.52,247.108,244.242,0.05,140.756,116.789,-16.106,2317.2
2321.3,38.031,30.045,178.369,241.655,238.141,0.048,148.051,119.078,-14.706,2317.3
2321.4,38.809,31.448,192.381,,254.899,0.046,155.793,121.367,-13.307,2317.4
2321.5,39.587,32.851,207.683,,,0.045,163.718,123.656,-11.908,2317.5
2321.6,40.365,34.255,223.405,,,0.043,171.566,122.52,-12.602,2317.6
2321.7,41.143,35.658,238.676,,,0.042,179.073,120.581,-13.787,2317.7
2321.8,41.921,37.061,252.626,,,0.041,185.976,118.642,-14.973,2317.8
2321.9,42.699,38.464,264.383,,,0.039,192.014,116.703,-16.158,2317.9
2322.0,44.886,42.408,273.077,,,0.038,196.923,114.764,-17.343,2318.0
2322.1,49.375,50.503,279.902,,,0.038,200.994,112.825,-18.529,2318.1
2322.2,53.864,58.598,286.59,,,0.039,204.708,111.588,-19.285,2318.2
