DEPT,CGXT,SMTU,gr,nprl,CLDC,DCOR,den,pe,dprl,GRGM,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRS,DPRD,HDEN,CILS,CILM,CILD,res_ilm,res_ild,BIT,mss
2365.85,95.413547,2498.25,31.479016,0.027347,6.135553,0.007127,2.609369,5.158959,0.048214,67.189268,0.000476,0.00022,0.019774,0.055823,0.017895,0.048214,0.013603,0.12965,2.627554,231.566434,86.779962,64.976334,11.523872,15.39026,6.125,2329.8090517241376
2365.875,95.396298,2487.0,30.511987,0.02679,6.128663,0.009618,2.608015,5.219487,0.058922,65.814781,0.000476,0.000219,0.019231,0.055061,0.017354,0.058922,0.024701,0.139442,2.609244,230.220761,86.66866,64.970334,11.538412,15.391694,6.125,2329.832715517241
2365.9,95.423039,2501.0,29.587313,0.026216,6.125353,0.01288,2.608012,5.252219,0.06709,65.329539,0.000475,0.000219,0.018681,0.054277,0.016797,0.06709,0.033166,0.146911,2.595276,228.863715,86.856653,64.889841,11.51362,15.410911,6.125,2329.856379310345
2365.925,95.421478,2525.749854,28.984128,0.025553,6.123798,0.016722,2.608915,5.264334,0.072992,66.147044,0.000475,0.000219,0.018058,0.053368,0.016153,0.072992,0.039283,0.152308,2.585183,226.732623,87.21198,64.741145,11.467002,15.446432,6.125,2329.8800431034483
2365.95,95.40687,2522.749902,28.484791,0.02482,6.125644,0.020756,2.609985,5.256751,0.075129,68.149835,0.000476,0.000219,0.017379,0.052362,0.015441,0.075129,0.041498,0.154263,2.581529,224.380014,87.606171,64.590369,11.41544,15.482504,6.125,2329.9037068965513
2365.975,95.435892,2512.25,28.206609,0.024333,6.131527,0.024598,2.610581,5.253371,0.074561,71.566887,0.000477,0.00022,0.016939,0.051693,0.014968,0.074561,0.040909,0.153743,2.5825,222.306238,87.918654,64.460649,11.37455,15.51354,6.125,2329.927370689655
2366.0,95.393044,2509.75,28.382755,0.024499,6.139075,0.028199,2.611022,5.270337,0.069979,74.977206,0.000478,0.000221,0.017112,0.051916,0.015128,0.069979,0.03616,0.149553,2.590335,220.280853,88.121169,64.39767,11.348156,15.528594,6.125,2329.9510344827586
2366.025,95.401251,2508.75,29.128653,0.025465,6.143691,0.031464,2.611461,5.296029,0.061129,77.108116,0.000478,0.000222,0.018026,0.053232,0.016065,0.061129,0.026988,0.14146,2.605469,218.567227,88.300626,64.468765,11.325045,15.511641,6.125,2329.974698275862
2366.05,95.422484,2509.5,30.426115,0.027159,6.147009,0.034391,2.612142,5.297085,0.056511,77.816623,0.000479,0.000222,0.019598,0.055542,0.017708,0.056511,0.022202,0.137237,2.613366,217.590079,88.510718,64.604459,11.298359,15.47919,6.125,2329.9983620689654
2366.075,95.423219,2512.25,32.308911,0.029403,6.146899,0.036964,2.613301,5.247462,0.057297,77.632637,0.000477,0.000221,0.02165,0.058601,0.019885,0.057297,0.023017,0.137956,2.612022,216.942584,88.703337,64.750009,11.273993,15.444347,6.125,2330.022025862069
2366.1,95.445549,2515.25,34.110141,0.031755,6.126365,0.039208,2.61532,5.143784,0.060822,76.634924,0.000472,0.000216,0.023769,0.061804,0.022166,0.060822,0.02667,0.141179,2.605995,216.094193,88.891252,64.85645,11.250084,15.418846,6.125,2330.0456896551723
2366.125,95.474695,2535.749854,36.248653,0.033555,6.087927,0.040794,2.617584,4.986996,0.061192,75.721031,0.000467,0.00021,0.025352,0.064252,0.023911,0.061192,0.027053,0.141518,2.605362,215.707886,88.986246,64.880751,11.237953,15.413012,6.125,2330.0693534482757
2366.15,95.446295,2550.999756,38.729104,0.0344,6.048942,0.04139,2.619065,4.842882,0.056134,75.005246,0.000462,0.000206,0.026044,0.065398,0.02473,0.056134,0.021812,0.136893,2.61401,215.406671,88.713641,64.809731,11.273501,15.429931,6.125,2330.093017241379
2366.175,95.434839,2551.749756,42.64025,0.034464,6.030777,0.04099,2.619343,4.765026,0.056447,73.759105,0.000461,0.000204,0.026029,0.065485,0.024792,0.056447,0.022136,0.137179,2.613476,215.44166,87.938107,64.719141,11.37554,15.451516,6.125,2330.116681034483
2366.2,95.453313,2542.249756,46.661497,0.034134,6.030466,0.039742,2.618449,4.787276,0.06178,72.17747,0.000461,0.000205,0.025681,0.065039,0.024472,0.06178,0.027663,0.142056,2.604356,216.052026,86.95851,64.632834,11.505243,15.472082,6.125,2330.140344827586
2366.225,95.476762,2527.249902,50.492991,0.033598,6.035597,0.037841,2.616796,4.856623,0.069308,71.100044,0.000462,0.000205,0.025177,0.064316,0.023954,0.069308,0.035465,0.14894,2.591482,217.531854,86.072681,64.517889,11.622573,15.499677,6.125,2330.1640086206894
2366.25,95.452504,2521.25,53.298396,0.033014,6.042472,0.03544,2.614832,4.956757,0.070507,70.596954,0.000463,0.000207,0.024653,0.063527,0.023389,0.070507,0.036707,0.150035,2.589434,219.567636,85.349963,64.375465,11.718485,15.534149,6.125,2330.187672413793
2366.275,95.433484,2520.5,54.810876,0.032726,6.049937,0.032621,2.612781,5.044611,0.068337,71.268826,0.000464,0.000208,0.02442,0.063138,0.02311,0.068337,0.034459,0.148052,2.593143,221.957822,84.885182,64.275157,11.781038,15.558439,6.125,2330.2113362068967
2366.3,95.444861,2522.25,54.186571,0.033074,6.058401,0.02937,2.610577,5.101163,0.066893,73.455499,0.000466,0.000209,0.024788,0.063606,0.023446,0.066893,0.032961,0.146731,2.595614,224.480243,84.630026,64.226859,11.816446,15.57008,6.125,2330.235
2366.325,95.456427,2525.25,53.220266,0.034163,6.069706,0.025668,2.608113,5.105229,0.06686,76.866646,0.000468,0.000211,0.025858,0.065072,0.0245,0.06686,0.032928,0.146701,2.595669,227.177567,84.41152,64.123009,11.847464,15.595256,6.125,2330.258663793103
2366.35,95.439764,2527.0,52.478984,0.035849,6.085081,0.021609,2.605467,5.093058,0.063373,79.523865,0.00047,0.000214,0.027488,0.067337,0.02613,0.063373,0.029314,0.143512,2.601632,229.720163,84.155022,64.00695,11.883745,15.623565,6.125,2330.2823275862065
2366.375,95.422852,2514.0,52.068478,0.037899,6.101091,0.01761,2.603376,5.070388,0.060679,81.600096,0.000472,0.000216,0.029455,0.070089,0.02811,0.060679,0.026522,0.141049,2.606239,231.520984,83.803741,63.905105,11.933406,15.648692,6.125,2330.3059913793104
2366.4,95.437596,2503.5,51.995467,0.040103,6.112956,0.014189,2.602834,5.037543,0.060316,83.431013,0.000474,0.000217,0.031559,0.073046,0.03024,0.060316,0.026146,0.140717,2.60686,232.425842,83.468896,63.744124,11.980827,15.688419,6.125,2330.329655172414
2366.425,95.471497,2501.0,52.960583,0.042267,6.118248,0.011521,2.604136,4.986112,0.062024,84.948981,0.000474,0.000218,0.033613,0.07594,0.032329,0.062024,0.027915,0.142278,2.60394,232.295099,83.390189,63.546935,11.991949,15.736837,6.125,2330.3533189655172
2366.45,95.511739,2499.25,54.938926,0.044202,6.119455,0.009477,2.606845,4.931011,0.058036,86.322617,0.000474,0.000218,0.035442,0.078518,0.034197,0.058036,0.023783,0.138632,2.610758,231.054581,83.431917,63.392839,11.985979,15.774809,6.125,2330.37698275862
2366.475,95.498743,2500.25,56.885562,0.045686,6.119768,0.007717,2.609882,4.910986,0.048506,88.513481,0.000474,0.000218,0.03684,0.080489,0.035627,0.048506,0.013907,0.129918,2.627054,229.31022,83.297531,63.251723,12.005528,15.809985,6.125,2330.400646551724
2366.5,95.447722,2502.75,58.389356,0.046502,6.119965,0.00613,2.612647,4.936775,0.042829,90.855605,0.000474,0.000218,0.037606,0.081569,0.036413,0.042829,0.008022,0.124726,2.636763,227.506888,83.117308,63.114725,12.031797,15.844403,6.125,2330.4243103448275
2366.525,95.438509,2503.0,59.704887,0.046478,6.120083,0.00454,2.61454,4.985975,0.042903,91.504646,0.000474,0.000218,0.037584,0.081535,0.036389,0.042903,0.0081,0.124794,2.636636,226.336191,82.975497,62.909627,12.052461,15.89664,6.125,2330.447974137931
2366.55,95.447005,2501.75,60.528629,0.045553,6.120152,0.003058,2.615828,5.025699,0.045411,90.660323,0.000474,0.000218,0.03672,0.080304,0.035497,0.045411,0.010699,0.127087,2.632347,225.569504,82.790047,62.552217,12.079213,15.988429,6.125,2330.4716379310344
2366.575,95.473518,2499.75,60.994748,0.043878,6.120246,0.001904,2.617171,5.06086,0.045917,88.879665,0.000475,0.000218,0.035154,0.078079,0.033883,0.045917,0.011223,0.127549,2.631483,225.074878,82.61391,62.081596,12.10466,16.110582,6.125,2330.495301724138
2366.6,95.489493,2498.0,61.873414,0.042008,6.120491,0.001511,2.619834,5.089983,0.048132,87.698351,0.000475,0.000218,0.033405,0.075594,0.03208,0.048132,0.013519,0.129575,2.627694,224.953656,82.538225,61.497831,12.115685,16.265021,6.125,2330.518965517241
2366.625,95.519344,2495.25,62.653779,0.040734,6.120684,0.001791,2.623668,5.116711,0.051111,87.899365,0.000475,0.000218,0.032214,0.073901,0.030851,0.051111,0.016606,0.1323,2.6226,225.681451,82.457236,60.764978,12.127704,16.462992,6.125,2330.5426293103446
2366.65,95.507018,2492.25,64.186319,0.040519,6.120789,0.002419,2.627897,5.140813,0.050537,90.042993,0.000475,0.000218,0.032014,0.073616,0.030644,0.050537,0.016011,0.131775,2.623581,227.114908,82.328433,59.985665,12.146782,16.677784,6.125,2330.566293103448
2366.675,95.457623,2491.25,65.999998,0.041186,6.120863,0.003057,2.631532,5.165916,0.046248,93.139685,0.000475,0.000218,0.032638,0.074505,0.031287,0.046248,0.011566,0.127853,2.630915,228.825558,82.087065,59.273811,12.18257,16.877215,6.125,2330.589956896552
2366.7,95.450446,2490.5,67.868666,0.042163,6.121042,0.003897,2.634874,5.176758,0.042694,96.027754,0.000475,0.000218,0.033553,0.075808,0.03223,0.042694,0.007883,0.124603,2.636993,230.339819,81.859895,58.657301,12.216238,17.052103,6.125,2330.613620689655
2366.725,95.459122,2504.25,69.104597,0.043066,6.121275,0.004987,2.637755,5.148165,0.043709,98.584012,0.000475,0.000218,0.034397,0.077012,0.033101,0.043709,0.008935,0.125531,2.635257,231.230243,81.779556,58.162054,12.228129,17.195012,6.125,2330.6372844827583
2366.75,95.498535,2513.0,70.914191,0.043826,6.121353,0.006387,2.640287,5.075013,0.04378,100.999208,0.000475,0.000218,0.035109,0.078026,0.033835,0.04378,0.009008,0.125595,2.635137,231.082263,81.808981,57.823306,12.223737,17.29472,6.125,2330.6609482758618
2366.775,95.48846,2511.75,73.872392,0.044545,6.121276,0.007942,2.642076,4.966888,0.041429,103.510103,0.000475,0.000218,0.035782,0.078981,0.034528,0.041429,0.006572,0.123446,2.639156,229.108722,81.825726,57.578162,12.221244,17.368307,6.125,2330.6846120689656
2366.8,95.438216,2505.25,77.076764,0.045394,6.121239,0.009478,2.642671,4.836023,0.035293,106.538728,0.000475,0.000218,0.036576,0.080105,0.035346,0.035293,0.000212,0.117834,2.64965,225.921768,81.817006,57.349171,12.222552,17.4378,6.125,2330.708275862069
2366.825,95.428267,2490.75,78.349069,0.046516,6.121251,0.010451,2.640331,4.689024,0.026308,110.03163,0.000475,0.000218,0.037625,0.081587,0.036426,0.026308,-0.009099,0.109619,2.665013,222.197208,81.766736,57.111401,12.230108,17.51037,6.125,2330.731939655172
