DEPTH,gr,neut_counts,mss
2281.3013,3.3048,151.0599,2275.3013
2281.4536,3.5339,147.6746,2275.4536
2281.606,3.5769,142.5961,2275.606
2281.7583,3.4055,137.0941,2275.7583
2281.9106,3.5058,133.7093,2275.9106
2282.0632,3.5775,136.6759,2276.0632
2282.2156,3.4346,143.8769,2276.2156
2282.3679,3.5063,150.2309,2276.3679
2282.5203,3.6352,154.8913,2276.5203
2282.6729,3.6211,159.9751,2276.6729
2282.8252,3.5927,161.6709,2276.8252
2282.9775,3.4927,154.8992,2276.9775
2283.1299,3.2211,148.545,2277.1299
2283.2825,3.2785,142.201,2277.2825
2283.4348,3.3787,140.9328,2277.4348
2283.5872,3.2788,142.2063,2277.5872
2283.7395,3.236,146.0198,2277.7395
2283.8918,3.2219,150.6801,2277.8918
2284.0444,3.4509,154.0702,2278.0444
2284.1968,3.0649,152.3791,2278.1968
2284.3491,2.9077,150.6875,2278.3491
2284.5015,3.0939,148.9969,2278.5015
2284.6541,3.28,148.5761,2278.6541
2284.8064,3.409,148.5788,2278.8064
2284.9587,3.5236,148.1574,2278.9587
2285.1111,3.5524,148.16,2279.1111
2285.2637,3.5669,147.3158,2279.2637
2285.416,3.6386,144.7779,2279.416
2285.5684,3.7532,140.5462,2279.5684
2285.7207,3.8106,132.0802,2279.7207
2285.873,3.7678,130.3886,2279.873
2286.0256,3.6822,144.3649,2280.0256
2286.178,3.7539,152.4127,2280.178
2286.3303,3.6682,155.3794,2280.3303
2286.4827,3.7685,159.6163,2280.4827
2286.6353,3.7544,166.3933,2280.6353
2286.7876,3.6258,162.585,2280.7876
2286.9399,3.5115,158.7768,2280.9399
2287.0923,3.526,155.392,2281.0923
2287.2449,3.5548,151.1603,2281.2449
2287.3972,3.5695,147.7755,2281.3972
2287.5496,3.6267,150.7421,2281.5496
2287.7019,3.7556,157.0962,2281.7019
2287.8542,3.8416,163.8737,2281.8542
2288.0068,3.5414,171.9215,2282.0068
2288.1592,3.2697,162.6087,2282.1592
2288.3115,3.0982,156.6828,2282.3115
2288.4639,3.0698,152.4511,2282.4639
2288.6165,3.3561,149.4897,2282.6165
2288.7688,3.5279,147.3752,2282.7688
2288.9211,3.3135,144.4138,2282.9211
2289.0735,3.1706,141.8759,2283.0735
2289.2261,3.1422,144.8425,2283.2261
2289.3784,2.8991,149.5029,2283.3784
2289.5308,2.5131,155.8569,2283.5308
2289.6831,2.7851,162.6344,2283.6831
2289.8354,3.0141,166.0245,2283.8354
2289.988,3.1288,169.0091,2283.988
2290.1404,3.0431,177.0384,2284.1404
2290.2927,2.9002,184.6628,2284.2927
2290.4451,2.8146,194.8277,2284.4451
2290.5977,2.9721,196.5235,2284.5977
2290.75,3.2441,187.6347,2284.75
2290.9023,3.3873,181.7093,2284.9023
2291.0547,3.2444,177.0542,2285.0547
2291.207,3.402,172.8225,2285.207
2291.3596,3.5595,168.5908,2285.3596
2291.512,3.4309,174.0981,2285.512
2291.6643,3.3738,170.2898,2285.6643
2291.8167,3.3454,166.0576,2285.8167
2291.9692,3.2455,161.8259,2285.9692
2292.1216,3.1312,156.324,2286.1216
2292.2739,3.0026,153.786,2286.2739
2292.4263,2.8454,153.3647,2286.4263
2292.5789,2.7455,154.2147,2286.5789
2292.7312,2.7168,156.7579,2286.7312
2292.8835,3.1321,159.7246,2286.8835
2293.0359,3.3611,162.6912,2287.0359
2293.1882,3.5044,164.811,2287.1882
2293.3408,3.5331,167.3542,2287.3408
2293.4932,3.3331,169.05,2287.4932
2293.6455,3.2331,171.1698,2287.6455
2293.7979,3.1903,174.5598,2287.7979
2293.9504,3.1476,180.4905,2287.9504
2294.1028,3.0763,183.8806,2288.1028
2294.2551,3.1766,184.7295,2288.2551
2294.4075,3.3627,178.8046,2288.4075
2294.5601,3.6061,174.573,2288.5601
2294.7124,3.8065,170.7647,2288.7124
2294.8647,3.6923,167.3799,2288.8647
2295.0171,3.6066,171.1934,2289.0171
2295.1694,3.9644,176.7001,2289.1694
2295.322,4.0504,178.3959,2289.322
2295.4744,3.7645,169.5071,2289.4744
2295.6267,3.593,163.5817,2289.6267
2295.7791,3.3643,158.0797,2289.7791
2295.9316,3.436,153.0012,2289.9316
2296.084,3.5506,152.1564,2290.084
2296.2363,3.608,154.2767,2290.2363
2296.3887,3.6368,151.7388,2290.3887
2296.5413,3.3222,147.0837,2290.5413
2296.6936,2.9648,141.1583,2290.6936
2296.8459,3.0365,134.8095,2290.8459
2296.9983,3.3085,131.0007,2290.9983
2297.1506,3.466,195.7782,2291.1506
2297.3032,3.2945,198.3209,2291.3032
2297.4556,3.3805,189.8555,2291.4556
2297.6079,3.5524,200.0204,2291.6079
2297.7603,3.6527,207.6448,2291.7603
2297.9128,3.4812,213.9988,2291.9128
