porosity,m,clay_sep_pu,anchor,rw_app_ohmm,zone,sw_median,sw_p25,vsh_median,phie_median
phi_mean,2.2,30,A aquifer Sw=1,0.0091,upper El Abra 2270-2294,0.674,0.618,0.141,0.086
phi_mean,2.2,30,A aquifer Sw=1,0.0091,TEC-12 window 2294-2311,0.685,0.611,0.112,0.074
phi_mean,2.2,30,A aquifer Sw=1,0.0091,perforated 2311-2320,0.663,0.289,0.0,0.04
phi_mean,2.2,30,A aquifer Sw=1,0.0091,lower produced 2320-2332,0.611,0.402,0.0,0.056
phi_mean,2.2,30,A aquifer Sw=1,0.0091,tight 2332-2374,0.981,0.705,0.0,0.02
phi_mean,2.2,30,A aquifer Sw=1,0.0091,below LKO 2374-2447,,,,
phi_mean,2.2,30,B produced Sw=0.55,0.0076,upper El Abra 2270-2294,0.62,0.569,0.141,0.086
phi_mean,2.2,30,B produced Sw=0.55,0.0076,TEC-12 window 2294-2311,0.631,0.562,0.112,0.074
phi_mean,2.2,30,B produced Sw=0.55,0.0076,perforated 2311-2320,0.608,0.265,0.0,0.04
phi_mean,2.2,30,B produced Sw=0.55,0.0076,lower produced 2320-2332,0.56,0.369,0.0,0.056
phi_mean,2.2,30,B produced Sw=0.55,0.0076,tight 2332-2374,0.9,0.647,0.0,0.02
phi_mean,2.2,30,B produced Sw=0.55,0.0076,below LKO 2374-2447,,,,
phi_mean,2.2,30,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.5,1.422,0.141,0.086
phi_mean,2.2,30,C book Rw 0.054,0.054,TEC-12 window 2294-2311,1.5,1.399,0.112,0.074
phi_mean,2.2,30,C book Rw 0.054,0.054,perforated 2311-2320,1.5,0.704,0.0,0.04
phi_mean,2.2,30,C book Rw 0.054,0.054,lower produced 2320-2332,1.474,0.981,0.0,0.056
phi_mean,2.2,30,C book Rw 0.054,0.054,tight 2332-2374,1.5,1.5,0.0,0.02
phi_mean,2.2,30,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_den,1.8,0,A aquifer Sw=1,0.1493,upper El Abra 2270-2294,1.5,1.5,0.0,0.079
phi_den,1.8,0,A aquifer Sw=1,0.1493,TEC-12 window 2294-2311,1.5,1.5,0.0,0.067
phi_den,1.8,0,A aquifer Sw=1,0.1493,perforated 2311-2320,1.015,0.516,0.0,0.058
phi_den,1.8,0,A aquifer Sw=1,0.1493,lower produced 2320-2332,1.061,0.748,0.0,0.079
phi_den,1.8,0,A aquifer Sw=1,0.1493,tight 2332-2374,1.032,0.841,0.0,0.037
phi_den,1.8,0,A aquifer Sw=1,0.1493,below LKO 2374-2447,,,0.0,
phi_den,1.8,0,B produced Sw=0.55,0.0542,upper El Abra 2270-2294,1.138,1.025,0.0,0.079
phi_den,1.8,0,B produced Sw=0.55,0.0542,TEC-12 window 2294-2311,1.15,1.015,0.0,0.067
phi_den,1.8,0,B produced Sw=0.55,0.0542,perforated 2311-2320,0.612,0.311,0.0,0.058
phi_den,1.8,0,B produced Sw=0.55,0.0542,lower produced 2320-2332,0.639,0.451,0.0,0.079
phi_den,1.8,0,B produced Sw=0.55,0.0542,tight 2332-2374,0.622,0.506,0.0,0.037
phi_den,1.8,0,B produced Sw=0.55,0.0542,below LKO 2374-2447,,,0.0,
phi_den,1.8,0,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.136,1.023,0.0,0.079
phi_den,1.8,0,C book Rw 0.054,0.054,TEC-12 window 2294-2311,1.148,1.013,0.0,0.067
phi_den,1.8,0,C book Rw 0.054,0.054,perforated 2311-2320,0.61,0.311,0.0,0.058
phi_den,1.8,0,C book Rw 0.054,0.054,lower produced 2320-2332,0.638,0.45,0.0,0.079
phi_den,1.8,0,C book Rw 0.054,0.054,tight 2332-2374,0.621,0.506,0.0,0.037
phi_den,1.8,0,C book Rw 0.054,0.054,below LKO 2374-2447,,,0.0,
phi_den,1.8,20,A aquifer Sw=1,0.1493,upper El Abra 2270-2294,1.5,1.5,0.212,0.061
phi_den,1.8,20,A aquifer Sw=1,0.1493,TEC-12 window 2294-2311,1.5,1.5,0.169,0.054
phi_den,1.8,20,A aquifer Sw=1,0.1493,perforated 2311-2320,0.999,0.516,0.0,0.058
phi_den,1.8,20,A aquifer Sw=1,0.1493,lower produced 2320-2332,1.056,0.748,0.0,0.079
phi_den,1.8,20,A aquifer Sw=1,0.1493,tight 2332-2374,1.029,0.837,0.0,0.037
phi_den,1.8,20,A aquifer Sw=1,0.1493,below LKO 2374-2447,,,,
phi_den,1.8,20,B produced Sw=0.55,0.0542,upper El Abra 2270-2294,1.213,1.081,0.212,0.061
phi_den,1.8,20,B produced Sw=0.55,0.0542,TEC-12 window 2294-2311,1.176,1.051,0.169,0.054
phi_den,1.8,20,B produced Sw=0.55,0.0542,perforated 2311-2320,0.606,0.311,0.0,0.058
phi_den,1.8,20,B produced Sw=0.55,0.0542,lower produced 2320-2332,0.639,0.451,0.0,0.079
phi_den,1.8,20,B produced Sw=0.55,0.0542,tight 2332-2374,0.62,0.506,0.0,0.037
phi_den,1.8,20,B produced Sw=0.55,0.0542,below LKO 2374-2447,,,,
phi_den,1.8,20,C book Rw 0.054,0.054,upper El Abra 2270-2294,1.212,1.079,0.212,0.061
phi_den,1.8,20,C book Rw 0.054,0.054,TEC-12 window 2294-2311,1.175,1.049,0.169,0.054
phi_den,1.8,20,C book Rw 0.054,0.054,perforated 2311-2320,0.605,0.311,0.0,0.058
phi_den,1.8,20,C book Rw 0.054,0.054,lower produced 2320-2332,0.638,0.45,0.0,0.079
phi_den,1.8,20,C book Rw 0.054,0.054,tight 2332-2374,0.619,0.505,0.0,0.037
phi_den,1.8,20,C book Rw 0.054,0.054,below LKO 2374-2447,,,,
phi_den,1.8,25,A aquifer Sw=1,0.1493,upper El Abra 2270-2294,1.5,1.5,0.169,0.065
phi_den,1.8,25,A aquifer Sw=1,0.1493,TEC-12 window 2294-2311,1.5,1.5,0.135,0.057
phi_den,1.8,25,A aquifer Sw=1,0.1493,perforated 2311-2320,0.999,0.516,0.0,0.058
phi_den,1.8,25,A aquifer Sw=1,0.1493,lower produced 2320-2332,1.061,0.748,0.0,0.079
phi_den,1.8,25,A aquifer Sw=1,0.1493,tight 2332-2374,1.029,0.838,0.0,0.037
phi_den,1.8,25,A aquifer Sw=1,0.1493,below LKO 2374-2447,,,,
