mMD,mTVD,mSS,inclination_deg,north_m,east_m,vs_m,dominant,grainstone_pct,mudwack_pct,oil_show
945.5,945.49,940.79,0.3112962962962963,-1.1735185185185184,-3.316111111111111,3.5176325297763076,shale,0.0,0.0,none
946.5,946.49,941.79,0.31092592592592594,-1.1753703703703704,-3.317222222222222,3.519298052048095,shale,0.0,0.0,none
947.5,947.49,942.79,0.31055555555555553,-1.1772222222222222,-3.3183333333333334,3.5209641110930026,shale,0.0,0.0,none
948.5,948.49,943.79,0.3101851851851852,-1.179074074074074,-3.319444444444444,3.522630706149414,shale,0.0,0.0,none
949.5,949.49,944.79,0.3068518518518519,-1.1805555555555556,-3.319444444444444,3.5231268554376767,shale,0.0,0.0,none
950.5,950.49,945.79,0.3005555555555556,-1.1816666666666666,-3.3183333333333334,3.5224525862277014,shale,0.0,0.0,none
951.5,951.49,946.79,0.2942592592592593,-1.1827777777777777,-3.317222222222222,3.5217788890289343,shale,0.0,0.0,none
952.5,952.49,947.79,0.287962962962963,-1.1838888888888888,-3.316111111111111,3.5211057641697066,shale,0.0,0.0,none
953.5,953.49,948.79,0.2816666666666667,-1.185,-3.315,3.5204332119783213,shale,0.0,0.0,none
954.5,954.49,949.79,0.2753703703703704,-1.1861111111111111,-3.3138888888888887,3.519761232783052,shale,0.0,0.0,none
955.5,955.49,950.79,0.2690740740740741,-1.1872222222222222,-3.312777777777778,3.519089826912144,shale,0.0,0.0,none
956.5,956.49,951.79,0.2627777777777778,-1.1883333333333332,-3.3116666666666665,3.5184189946938127,shale,0.0,0.0,none
957.5,957.49,952.79,0.2564814814814815,-1.1894444444444443,-3.3105555555555553,3.5177487364562445,shale,0.0,0.0,none
958.5,958.49,953.79,0.2501851851851852,-1.1905555555555556,-3.3094444444444444,3.5170790525275937,shale,0.0,0.0,none
959.5,959.49,954.79,0.24388888888888888,-1.1916666666666667,-3.308333333333333,3.5164099432359825,shale,0.0,0.0,none
960.5,960.49,955.79,0.2375925925925926,-1.1927777777777777,-3.3072222222222223,3.5157414089095047,shale,0.0,0.0,none
961.5,961.49,956.79,0.2312962962962963,-1.1938888888888888,-3.306111111111111,3.5150734498762173,shale,0.0,0.0,none
962.5,962.49,957.79,0.225,-1.195,-3.3049999999999997,3.5144060664641468,shale,0.0,0.0,none
963.5,963.49,958.79,0.21870370370370373,-1.1961111111111111,-3.303888888888889,3.513739259001287,shale,0.0,0.0,none
964.5,964.49,959.79,0.21240740740740743,-1.1972222222222222,-3.3027777777777776,3.5130730278155946,shale,0.0,0.0,none
965.5,965.49,960.79,0.20611111111111113,-1.1983333333333333,-3.3016666666666667,3.512407373234995,shale,0.0,0.0,none
966.5,966.49,961.79,0.19981481481481483,-1.1994444444444443,-3.3005555555555555,3.5117422955873745,shale,0.0,0.0,none
967.5,967.49,962.79,0.19351851851851853,-1.2005555555555556,-3.2994444444444446,3.5110777952005874,shale,0.0,0.0,none
968.5,968.49,963.79,0.18722222222222223,-1.2016666666666667,-3.2983333333333333,3.5104138724024487,shale,0.0,0.0,none
969.5,969.49,964.79,0.18092592592592593,-1.2027777777777777,-3.297222222222222,3.5097505275207377,shale,0.0,0.0,none
970.5,970.49,965.79,0.17462962962962963,-1.2038888888888888,-3.296111111111111,3.5090877608831965,shale,0.0,0.0,none
971.5,971.49,966.79,0.16833333333333336,-1.205,-3.295,3.508425572817528,shale,0.0,0.0,none
972.5,972.49,967.79,0.16203703703703706,-1.2061111111111111,-3.293888888888889,3.507763963651397,shale,0.0,0.0,none
