month_on_production,TEC-2,TEC-6,TEC-7,TEC-9,TEC-10,avg_4_pemex_wells,ifr_workbook_average,ifr_workbook_fit,ifr_tec12_curve
120,6.451807001069816,6.451807001069816,18.710240303102463,6.451807001069816,,9.516415326577977,9.516415326577977,26.964163039322177,30.652088728247076
121,6.333523872716868,17.000511447818962,17.09728855283501,6.451807001069816,,11.720782718610165,11.720782718610165,26.842975331729786,30.504666693561514
122,6.451807001069816,2.0000601703316425,19.000571618150605,5.862245326834125,,8.328671029096547,8.328671029096547,26.723300453663285,30.359143519257653
123,11.000330936824035,2.857228814759489,18.710240303102463,12.581023652086138,,11.287205926693032,11.287205926693032,26.60510762637656,30.21547966815819
124,6.774397351123305,12.581023652086138,19.000571618150605,12.667047745433736,,12.755760091698445,12.755760091698445,26.48836693547659,30.073636735268753
125,6.774397351123305,6.0001805109949276,18.710240303102463,12.581023652086138,,11.016460454326708,11.016460454326708,26.373049300066803,29.93357740664958
126,6.428764833208851,21.613553453583883,2.903313150481417,12.667047745433736,,10.903169795676972,10.903169795676972,26.25912644322324,29.795265420092626
127,6.451807001069816,6.66686723443881,38.71084200641889,12.581023652086138,,16.102634973503413,16.102634973503413,26.14657086373629,29.65866552751121
128,6.333523872716868,6.451807001069816,36.66776978941345,10.000300851658213,,14.863350378714586,14.863350378714586,26.035355809054373,29.523743458955252
129,6.451807001069816,6.333523872716868,10.322891201711702,3.333433617219405,,6.610413923179448,6.610413923179448,25.925455249369794,29.3904658881696
130,6.333523872716868,5.161445600855851,,6.451807001069816,,5.982258824880845,5.982258824880845,25.816843852790182,29.258800399618334
131,6.451807001069816,0.6451807001069814,,6.333523872716868,,4.476837191297888,4.476837191297888,25.709496961542342,29.12871545690167
132,6.451807001069816,0.3333433617219404,,6.451807001069816,,4.412319121287191,4.412319121287191,25.603390569158236,29.00018037249704
133,78.335690004656,12.581023652086138,,6.451807001069816,,32.45617355260398,32.45617355260398,25.49850129859557,28.87316527875913
134,6.451807001069816,12.667047745433736,,6.428764833208851,,8.515873193237468,8.515873193237468,25.394806381248152,28.74764110011757
135,6.333523872716868,12.581023652086138,,6.451807001069816,,8.455451508624273,8.455451508624273,25.2922836368037,28.62357952641462
136,6.451807001069816,12.581023652086138,,6.333523872716868,,8.455451508624273,8.455451508624273,25.190911453908875,28.500952987327864
137,6.451807001069816,12.500376064572766,,6.451807001069816,,8.467996688904133,8.467996688904133,25.090668771603795,28.379734627826405
